,href,Campaign,Adgroup,keyword
0,https://bookinghealth.ru/clinics/treatment/obstetrics/germany,Поисковая сеть. Евразия NEW,Акушерство,Остатки Эмбриональных Тканей И Плодных Оболочек
1,https://bookinghealth.ru/clinics/treatment/obstetrics/germany,Поисковая сеть. Евразия NEW,Акушерство,Рождение Ребенка
2,https://bookinghealth.ru/clinics/treatment/obstetrics/germany,Поисковая сеть. Евразия NEW,Акушерство,Роды
3,https://bookinghealth.ru/clinics/treatment/allergology/germany,Поисковая сеть. Евразия NEW,Аллергология,Аллергический Дерматит 
4,https://bookinghealth.ru/clinics/treatment/allergology/germany,Поисковая сеть. Евразия NEW,Аллергология,Аллергическая Экзема
5,https://bookinghealth.ru/clinics/treatment/Gamma-knife/germany,Поисковая сеть. Евразия NEW,Гамма Нож,Артерио-Венозные Мальформации 
6,https://bookinghealth.ru/clinics/treatment/Gamma-knife/germany,Поисковая сеть. Евразия NEW,Гамма Нож,Авм
7,https://bookinghealth.ru/clinics/treatment/Gamma-knife/germany,Поисковая сеть. Евразия NEW,Гамма Нож,Герминома Головного Мозга
8,https://bookinghealth.ru/clinics/treatment/Gamma-knife/germany,Поисковая сеть. Евразия NEW,Гамма Нож,Доброкачественная Опухоль Мозга
9,https://bookinghealth.ru/clinics/treatment/Gamma-knife/germany,Поисковая сеть. Евразия NEW,Гамма Нож,Невринома Спинного Мозга
10,https://bookinghealth.ru/clinics/treatment/Gamma-knife/germany,Поисковая сеть. Евразия NEW,Гамма Нож,Сосудистые Образования
11,https://bookinghealth.ru/clinics/treatment/Gamma-knife/germany,Поисковая сеть. Евразия NEW,Гамма Нож,Ювенильная Назофарингеальная Ангиофиброма
12,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Болезнь Крона
13,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Воспаление Желчевыводящего Протока
14,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Гастрит
15,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Дивертикулит
16,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Дуоденит
17,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Камни Желчных Протоков 
18,,Поисковая сеть. Евразия NEW,Гастроэнтерология,Холангиолитиаз
19,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Метастазы В Печень
20,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Окклюзия Желчного Протока
21,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Полипы Желудка
22,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Псевдокиста Поджелудочной Железы
23,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Рак Тонкого Кишечника Со Стенозом
24,,Поисковая сеть. Евразия NEW,Гастроэнтерология,Карциноид Тонкого Кишечника Со Стенозом
25,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Рак Желчных Протоков
26,,Поисковая сеть. Евразия NEW,Гастроэнтерология,Холангиокарцинома
27,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Рак Пищевода
28,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Рак Поджелудочной Железы
29,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Рак Прямой Кишки
30,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Синдром Золлингера — Эллисона
31,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Стеноз Двенадцатиперстной Кишки
32,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Стеноз Пищевода
33,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Фиброз Печени
34,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Фистула Желчного Протока
35,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Хронический Панкреатит
36,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Цирроз Печени
37,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Эзофагит
38,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Язва Двенадцатиперстной Кишки
39,https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Поисковая сеть. Евразия NEW,Гастроэнтерология,Язва Желудка
