href,disease_type,keyword
https://bookinghealth.ru/clinics/treatment/obstetrics/germany,"
            Акушерство
            ","Остатки
                        эмбриональных тканей и плодных оболочек"
https://bookinghealth.ru/clinics/treatment/obstetrics/germany,"
            Акушерство
            ",Рождение ребенка (Роды)
https://bookinghealth.ru/clinics/treatment/allergology/germany,Аллергология ,"Аллергический дерматит
                        (экзема)"
https://bookinghealth.ru/clinics/treatment/Gamma-knife/germany,Гамма нож ,"Артерио-венозные
                        мальформации (АВМ)"
https://bookinghealth.ru/clinics/treatment/Gamma-knife/germany,Гамма нож ,Герминома головного мозга
https://bookinghealth.ru/clinics/treatment/Gamma-knife/germany,Гамма нож ,"Доброкачественная опухоль
                        мозга"
https://bookinghealth.ru/clinics/treatment/Gamma-knife/germany,Гамма нож ,Невринома спинного мозга
https://bookinghealth.ru/clinics/treatment/Gamma-knife/germany,Гамма нож ,Сосудистые образования
https://bookinghealth.ru/clinics/treatment/Gamma-knife/germany,Гамма нож ,"Ювенильная
                        назофарингеальная ангиофиброма"
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Болезнь Крона
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,"Воспаление желчевыводящего
                        протока"
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Гастрит
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Дивертикулит
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Дуоденит
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,"Камни желчных протоков
                        (холангиолитиаз)"
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Метастазы в печень
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Окклюзия желчного протока
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Полипы желудка
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,"Псевдокиста поджелудочной
                        железы"
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,"Рак (карциноид)
                        тонкого кишечника со стенозом"
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,"Рак
                        желчных протоков (Холангиокарцинома)"
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Рак пищевода
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Рак поджелудочной железы
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Рак прямой кишки
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,"Синдром Золлингера —
                        Эллисона"
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Стеноз двенадцатиперстной кишки
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Стеноз пищевода
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Фиброз печени
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Фистула желчного протока
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Хронический панкреатит
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Цирроз печени
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Эзофагит
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Язва двенадцатиперстной кишки
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Язва желудка
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Язва пищевода
https://bookinghealth.ru/clinics/treatment/gastroenterology/germany,Гастроэнтерология ,Язвенный колит
https://bookinghealth.ru/clinics/treatment/hematology/germany,Гематология ,"Агрессивная Т клеточная
                        лимфома"
https://bookinghealth.ru/clinics/treatment/hematology/germany,Гематология ,Апластическая анемия
