disease_type,disease_name,href
Allergology ,Atopic dermatitis (eczema),/disease/atopic-dermatitis-eczema
"Cancer
            ",Adrenal cancer,/disease/adrenal-gland-cancer
"Cancer
            ","Cancer
                        of the bile duct",/disease/cancer-of-the-bile-duct-with-bile-duct-obstruction
"Cancer
            ",Cervical cancer,/disease/cervical-cancer
"Cancer
            ",Choriocarcinoma,/disease/choriocarcinoma
"Cancer
            ","Clear cell renal
                        carcinoma",/disease/clear-cell-renal-carcinoma
"Cancer
            ",Colon cancer,/disease/colon-cancer
"Cancer
            ",Duodenal cancer,/disease/duodenum-cancer
"Cancer
            ","Endometrial cancer
                        (uterine cancer)",/disease/endometrial-cancer-uterine-cancer
"Cancer
            ",Ependymoblastoma,/disease/ependymoblastoma
"Cancer
            ",Esophageal cancer,/disease/esophageal-cancer
"Cancer
            ",Ewing sarcoma,/disease/ewing-sarcoma
"Cancer
            ",Gastric malt lymphoma,/disease/gastric-malt-lymphoma
"Cancer
            ","Germ cell
                        tumors of the ovary (dysgerminom)",/disease/germ-cell-tumors-of-the-ovary-dysgerminom
"Cancer
            ",Glioblastoma (brain cancer),/disease/glioblastoma
"Cancer
            ",Infantile fibrosarcoma,/disease/infantile-fibrosarcoma
"Cancer
            ",Infantile fibrosarcoma ,/disease/infantile-fibrosarcoma-nbsp-
"Cancer
            ","Juvenile
                        nasopharyngeal angiofibroma",/disease/juvenile-nasopharyngeal-angiofibroma
"Cancer
            ","Kidney cancer (renal
                        cell cancer)",/disease/kidney-cancer-renal-cell-cancer
"Cancer
            ",Laryngeal cancer,/disease/laryngeal-cancer
"Cancer
            ",Liver cancer,/disease/liver-cancer
"Cancer
            ",Lung cancer,/disease/lung-cancer
"Cancer
            ",Mediastinal tumor,/disease/mediastinal-tumor
"Cancer
            ",Medulloblastoma,/disease/medulloblastoma
"Cancer
            ",Melanoma,/disease/melanoma
"Cancer
            ",Mesothelioma,/disease/mesothelioma
"Cancer
            ",Nasopharyngeal cancer,/disease/nasopharyngeal-cancer
"Cancer
            ","Nephroblastoma (wilms
                        tumor)",/disease/nephroblastoma-wilms-tumor
"Cancer
            ","Neuroblastoma
                        (ganglioneyroblastoma)",/disease/neuroblastoma-ganglioneyroblastoma-stage
"Cancer
            ",Oral cancer,/disease/oral-cancer
"Cancer
            ","Orbital
                        rhabdomyosarcoma",/disease/orbital-rhabdomyosarcoma-in-children
"Cancer
            ",Oropharyngeal cancer,/disease/oropharyngeal-cancer
"Cancer
            ",Osteosarcoma,/disease/osteosarcoma
"Cancer
            ",Ovarian cancer,/disease/ovarian-cancer
"Cancer
            ",Ovarian teratoma,/disease/ovarian-teratoma
"Cancer
            ",Ovarian yolk sac tumor,/disease/ovarian-yolk-sac-tumor
"Cancer
            ",Pancreatic cancer,/disease/pancreatic-cancer
"Cancer
            ",Polyembryoma ovarian,/disease/polyembryoma-ovarian
"Cancer
            ",Rectal cancer,/disease/colorectal-cancer
"Cancer
            ",Retinoblastoma,/disease/retinoblastoma
"Cancer
            ",Soft tissue sarcoma,/disease/soft-tissue-sarcoma
"Cancer
            ",Stomach cancer,/disease/stomach-cancer
"Cancer
            ","Testicular embryonal
                        carcinoma",/disease/testicular-embryonal-carcinoma
"Cancer
            ",Testicular seminoma,/disease/testicular-seminoma
"Cancer
            ",Testicular teratoma,/disease/testicular-teratoma
"Cancer
            ",Testicular yolk sac tumor,/disease/testicular-yolk-sac-tumor
"Cancer
            ",Thyroid cancer,/disease/thyroid-cancer
"Cancer
            ",Tracheal cancer,/disease/tracheal-cancer
"Cancer
            ",Ureteral cancer,/disease/ureteral-cancer
Cardiology ,Angina pectoris (heart attack),/disease/angina-pectoris
Cardiology ,Aortic coarctation,/disease/aortic-coarctation
Cardiology ,Aortic valve stenosis,/disease/aortic-valve-stenosis
Cardiology ,"Atrial flutter
                        (fibrillation)",/disease/atrial-flutter-fibrillation-12
Cardiology ,Atrial septal defect,/disease/atrial-septal-defect
Cardiology ,"Atrioventricular block
                        (av-block)",/disease/atrioventricular-block-av-block
Cardiology ,"Atrioventricular
                        nodal reentrant tachycardia",/disease/atrioventricular-nodal-reentrant-tachycardia
Cardiology ,Bradycardia,/disease/bradycardia
Cardiology ,Carotid sinus syndrome,/disease/carotid-sinus-syndrome
Cardiology ,"Congenital and
                        acquired heart defects",/disease/congenital-and-acquired-heart-defects
Cardiology ,Coronary insufficiency,/disease/coronary-insufficiency
Cardiology ,"Dilated and ischemic
                        cardiomyopathy",/disease/dilated-and-ischemic-cardiomyopathy
Cardiology ,Endocarditis,/disease/endocarditis
Cardiology ,Essential hypertension,/disease/essential-hypertension
Cardiology ,Heart failure,/disease/heart-failure
Cardiology ,"Left bundle branch block
                        (lbbb)",/disease/left-bundle-branch-block-lbbb
Cardiology ,Long qt syndrome,/disease/long-qt-syndrome
Cardiology ,Mitral valve stenosis,/disease/mitral-valve-stenosis
Cardiology ,Morgagni - adams - stokes - syndrome,/disease/morgagni-adams-stokes-syndrome
Cardiology ,"Myocardial infarction
                        (heart attack)",/disease/myocardial-infarction-heart-attack
Cardiology ,Myocarditis,/disease/myocarditis
Cardiology ,Pericarditis,/disease/pericarditis
Cardiology ,Pulmonary hypertension,/disease/pulmonary-hypertension
Cardiology ,"Pulmonary
                        hypertension with acute heart failure",/disease/pulmonary-hypertension-with-acute-heart-failure
Cardiology ,Pulmonary valve stenosis,/disease/pulmonary-valve-stenosis
Cardiology ,Sick-sinus-syndrome (sss),/disease/sick-sinus-syndrome-sss
Cardiology ,Ventricular flutter,/disease/ventricular-flutter
Cardiology ,"Ventricular septal defect
                        (vsd)",/disease/ventricular-septal-defect-vsd
Cardiology ,"Wolff–Parkinson–White-Syndrome
                        (WPW)",/disease/wolff-parkinson-white-syndrome-wpw
"Cardiosurgery
        ",Angina pectoris (heart attack),/disease/angina-pectoris
"Cardiosurgery
        ","Anomalous
                        pulmonary venous connection",/disease/anomalous-pulmonary-venous-connection-total
"Cardiosurgery
        ",Aortic coarctation,/disease/aortic-coarctation
"Cardiosurgery
        ","Aortic valve
                        insufficiency (avi)",/disease/aortic-valve-insufficiency-avi
"Cardiosurgery
        ",Aortic valve stenosis,/disease/aortic-valve-stenosis
"Cardiosurgery
        ","Atrial flutter
                        (fibrillation)",/disease/atrial-flutter-fibrillation-12
"Cardiosurgery
        ",Atrial septal defect,/disease/atrial-septal-defect
"Cardiosurgery
        ","Atrial
                        septal defect (ASD) after myocardial infarction (heart attack)",/disease/atrial-septal-defect-after-myocardial-infarction
"Cardiosurgery
        ","Atrioventricular
                        valve dysplasia (avd)",/disease/atrioventricular-valve-dysplasia-avd
"Cardiosurgery
        ","Congenital and
                        acquired heart defects",/disease/congenital-and-acquired-heart-defects
"Cardiosurgery
        ",Left ventricular aneurysm,/disease/left-ventricular-aneurysm
"Cardiosurgery
        ","Mitral valve
                        insufficiency (prolapse)",/disease/mitral-valve-insufficiency-prolapse
"Cardiosurgery
        ",Mitral valve stenosis,/disease/mitral-valve-stenosis
"Cardiosurgery
        ","Myocardial infarction
                        (heart attack)",/disease/myocardial-infarction-heart-attack
"Cardiosurgery
        ","Pulmonary valve
                        insufficiency",/disease/pulmonary-valve-insufficiency
"Cardiosurgery
        ",Pulmonary valve stenosis,/disease/pulmonary-valve-stenosis
"Cardiosurgery
        ",Tetralogy of fallot (ToF),/disease/tetralogy-of-fallot-tof
"Cardiosurgery
        ",Tricuspid valve disease,/disease/tricuspid-valve-disease
"Cardiosurgery
        ",Tricuspid valve stenosis,/disease/tricuspid-valve-stenosis
"Cardiosurgery
        ","Ventricular septal defect
                        (vsd)",/disease/ventricular-septal-defect-vsd
"Cardiosurgery
        ","Wolff–Parkinson–White-Syndrome
                        (WPW)",/disease/wolff-parkinson-white-syndrome-wpw
Cyber knife ,Intracranial germinoma,/disease/intracranial-germinoma
Cyber knife ,Malignant cancer,/disease/malignant-cancer
Dermatology ,Acne,/disease/acne
Dermatology ,Basalioma,/disease/basal-cell-carcinoma
Dermatology ,Contact dermatitis,/disease/contact-dermatitis
Dermatology ,Melanoma,/disease/melanoma
Dermatology ,Neurodermatitis,/disease/neurodermatitis
Dermatology ,Psoriasis,/disease/psoriasis
Dermatology ,Shingles,/disease/shingles
Dermatology ,Skin cancer,/disease/skin-cancer
Dermatology ,Skin lipomatosis,/disease/skin-lipomatosis
Dermatology ,Vitiligo,/disease/vitiligo
Endocrinology ,"Adrenal
                        insufficiency (addisons disease)",/disease/adrenal-insufficiency-addisons-disease
Endocrinology ,Alopecia,/disease/alopecia
Endocrinology ,"Autoimmune
                        thyroiditis (hashimoto disease)",/disease/autoimmune-thyroiditis-hashimoto-disease
Endocrinology ,"Congenital
                        disorders of endocrine system",/disease/congenital-disorders-of-endocrine-system
Endocrinology ,Diabetes insipidus,/disease/diabetes-insipidus
Endocrinology ,Diabetes mellitus type 1,/disease/type-1-diabetes
Endocrinology ,Diabetes mellitus type 2,/disease/diabetes-mellitus-type-2
Endocrinology ,Diabetic foot,/disease/diabetic-foot
Endocrinology ,Gynecomastia in men,/disease/gynecomastia-in-men
Endocrinology ,Hirsuties in women,/disease/hirsuties-in-women
Endocrinology ,"Hormonal
                        disorder in women during sexual maturation (premenstrual tension)",/disease/hormonal-disorder-in-women-during-sexual-maturation-premenstrual-tension
Endocrinology ,"Hormonal
                        disorder in women with hirsutism",/disease/hormonal-disorder-in-women-with-hirsutism
Endocrinology ,"Hormonal disorder
                        in women with polycystic ovaries disease",/disease/hormonal-disorder-in-women-with-polycystic-ovaries-disease
Endocrinology ,"Hormonal
                        disorders in women during menopause",/disease/hormonal-disorders-in-women-during-menopause
Endocrinology ,"Hormonal imbalance in
                        teenage male",/disease/hormonal-imbalance-in-teenage-male
Endocrinology ,"Hypertension
                        caused by endocrine gland defects",/disease/hypertension-caused-by-endocrine-gland-defects
Endocrinology ,Hypertrichosis in men,/disease/hirsuties-in-men
Endocrinology ,"Hypogonadism
                        (testosterone deficiency)",/disease/hypogonadism-testosterone-deficiency
Endocrinology ,Hypothyroidism,/disease/hypothyroidism-myxedema
Endocrinology ,Menstrual disorder,/disease/menstrual-disorder
Endocrinology ,Metabolic syndrome,/disease/metabolic-syndrome
Endocrinology ,Myxedema,/disease/myxedema
Endocrinology ,Osteoporosis,/disease/osteoporosis
Endocrinology ,Pituitary dwarfism,/disease/pituitary-dwarfism
Endocrinology ,Thyrotoxicosis,/disease/thyrotoxicosis
Endocrinology ,"Zollinger–Ellison
                        Syndrome",/disease/gastrin-secretion-disorder
